,primary_key,Customer_ID,Product_ID,Month,Customer_name,Product_family,Customer_Cohort_Year,Customer_Tenure,Dimension1,Dimension2,Dimension3,Value type,Value yearly,year
160,18,CUST-00012,PROD-0001,2024-05-01,,,2024,1,UK,Europe,SMB,BoP ARR,6044.37,2024
161,18,CUST-00012,PROD-0001,2024-06-01,,,2024,2,UK,Europe,SMB,BoP ARR,5608.48,2024
162,18,CUST-00012,PROD-0001,2024-07-01,,,2024,3,UK,Europe,SMB,BoP ARR,5872.83,2024
163,18,CUST-00012,PROD-0001,2024-08-01,,,2024,4,UK,Europe,SMB,BoP ARR,6363.52,2024
164,18,CUST-00012,PROD-0001,2024-09-01,,,2024,5,UK,Europe,SMB,BoP ARR,6293.79,2024
165,18,CUST-00012,PROD-0001,2024-10-01,,,2024,6,UK,Europe,SMB,BoP ARR,5406.36,2024
166,18,CUST-00012,PROD-0001,2024-11-01,,,2024,7,UK,Europe,SMB,BoP ARR,5796.36,2024
167,18,CUST-00012,PROD-0001,2024-12-01,,,2024,8,UK,Europe,SMB,BoP ARR,5623.43,2024
169,19,CUST-00013,PROD-0007,2024-10-01,,,2024,1,Canada,North America,Enterprise,BoP ARR,432590.44,2024
170,19,CUST-00013,PROD-0007,2024-11-01,,,2024,2,Canada,North America,Enterprise,BoP ARR,395615.77,2024
171,19,CUST-00013,PROD-0007,2024-12-01,,,2024,3,Canada,North America,Enterprise,BoP ARR,393858.32,2024
173,20,CUST-00013,PROD-0009,2024-10-01,,,2024,1,Canada,North America,Enterprise,BoP ARR,109274.82,2024
174,20,CUST-00013,PROD-0009,2024-11-01,,,2024,2,Canada,North America,Enterprise,BoP ARR,104176.75,2024
175,20,CUST-00013,PROD-0009,2024-12-01,,,2024,3,Canada,North America,Enterprise,BoP ARR,93300.24,2024
177,21,CUST-00014,PROD-0006,2024-07-01,,,2024,1,UK,Europe,Startup,BoP ARR,7212.66,2024
178,21,CUST-00014,PROD-0006,2024-08-01,,,2024,2,UK,Europe,Startup,BoP ARR,6775.38,2024
179,21,CUST-00014,PROD-0006,2024-09-01,,,2024,3,UK,Europe,Startup,BoP ARR,7063.23,2024
180,21,CUST-00014,PROD-0006,2024-10-01,,,2024,4,UK,Europe,Startup,BoP ARR,7502.71,2024
181,21,CUST-00014,PROD-0006,2024-11-01,,,2024,5,UK,Europe,Startup,BoP ARR,7641.08,2024
182,21,CUST-00014,PROD-0006,2024-12-01,,,2024,6,UK,Europe,Startup,BoP ARR,7327.89,2024
184,22,CUST-00014,PROD-0001,2024-07-01,,,2024,1,UK,Europe,Startup,BoP ARR,9543.66,2024
185,22,CUST-00014,PROD-0001,2024-08-01,,,2024,2,UK,Europe,Startup,BoP ARR,9255.35,2024
186,22,CUST-00014,PROD-0001,2024-09-01,,,2024,3,UK,Europe,Startup,BoP ARR,9378.47,2024
187,22,CUST-00014,PROD-0001,2024-10-01,,,2024,4,UK,Europe,Startup,BoP ARR,7885.58,2024
188,22,CUST-00014,PROD-0001,2024-11-01,,,2024,5,UK,Europe,Startup,BoP ARR,9126.03,2024
189,22,CUST-00014,PROD-0001,2024-12-01,,,2024,6,UK,Europe,Startup,BoP ARR,8421.3,2024
191,23,CUST-00015,PROD-0005,2024-04-01,,,2024,1,Canada,North America,SMB,BoP ARR,8816.31,2024
192,23,CUST-00015,PROD-0005,2024-05-01,,,2024,2,Canada,North America,SMB,BoP ARR,7871.05,2024
193,23,CUST-00015,PROD-0005,2024-06-01,,,2024,3,Canada,North America,SMB,BoP ARR,7531.52,2024
194,23,CUST-00015,PROD-0005,2024-07-01,,,2024,4,Canada,North America,SMB,BoP ARR,7813.67,2024
195,23,CUST-00015,PROD-0005,2024-08-01,,,2024,5,Canada,North America,SMB,BoP ARR,8038.65,2024
196,23,CUST-00015,PROD-0005,2024-09-01,,,2024,6,Canada,North America,SMB,BoP ARR,8931.2,2024
197,23,CUST-00015,PROD-0005,2024-10-01,,,2024,7,Canada,North America,SMB,BoP ARR,9101.91,2024
198,23,CUST-00015,PROD-0005,2024-11-01,,,2024,8,Canada,North America,SMB,BoP ARR,7956.84,2024
200,24,CUST-00015,PROD-0004,2024-04-01,,,2024,1,Canada,North America,SMB,BoP ARR,9241.75,2024
201,24,CUST-00015,PROD-0004,2024-05-01,,,2024,2,Canada,North America,SMB,BoP ARR,10121.32,2024
202,24,CUST-00015,PROD-0004,2024-06-01,,,2024,3,Canada,North America,SMB,BoP ARR,9569.27,2024
203,24,CUST-00015,PROD-0004,2024-07-01,,,2024,4,Canada,North America,SMB,BoP ARR,11033.05,2024
205,25,CUST-00016,PROD-0006,2024-02-01,,,2024,1,France,Europe,Enterprise,BoP ARR,195503.17,2024
206,25,CUST-00016,PROD-0006,2024-03-01,,,2024,2,France,Europe,Enterprise,BoP ARR,220925.74,2024
207,25,CUST-00016,PROD-0006,2024-04-01,,,2024,3,France,Europe,Enterprise,BoP ARR,206635.63,2024
208,25,CUST-00016,PROD-0006,2024-05-01,,,2024,4,France,Europe,Enterprise,BoP ARR,205938.99,2024
209,25,CUST-00016,PROD-0006,2024-06-01,,,2024,5,France,Europe,Enterprise,BoP ARR,228787.73,2024
210,25,CUST-00016,PROD-0006,2024-07-01,,,2024,6,France,Europe,Enterprise,BoP ARR,223300.73,2024
212,26,CUST-00016,PROD-0007,2024-02-01,,,2024,1,France,Europe,Enterprise,BoP ARR,256777.71,2024
213,26,CUST-00016,PROD-0007,2024-03-01,,,2024,2,France,Europe,Enterprise,BoP ARR,236403.25,2024
214,26,CUST-00016,PROD-0007,2024-04-01,,,2024,3,France,Europe,Enterprise,BoP ARR,250769.69,2024
215,26,CUST-00016,PROD-0007,2024-05-01,,,2024,4,France,Europe,Enterprise,BoP ARR,246114.69,2024
216,26,CUST-00016,PROD-0007,2024-06-01,,,2024,5,France,Europe,Enterprise,BoP ARR,239915.55,2024
217,26,CUST-00016,PROD-0007,2024-07-01,,,2024,6,France,Europe,Enterprise,BoP ARR,249314.99,2024
218,26,CUST-00016,PROD-0007,2024-08-01,,,2024,7,France,Europe,Enterprise,BoP ARR,233507.93,2024
219,26,CUST-00016,PROD-0007,2024-09-01,,,2024,8,France,Europe,Enterprise,BoP ARR,255807.29,2024
220,26,CUST-00016,PROD-0007,2024-10-01,,,2024,9,France,Europe,Enterprise,BoP ARR,221081.38,2024
221,26,CUST-00016,PROD-0007,2024-11-01,,,2024,10,France,Europe,Enterprise,BoP ARR,266454.0,2024
222,26,CUST-00016,PROD-0007,2024-12-01,,,2024,11,France,Europe,Enterprise,BoP ARR,247442.1,2024
223,26,CUST-00016,PROD-0007,2025-01-01,,,2024,12,France,Europe,Enterprise,BoP ARR,256330.06,2025
225,27,CUST-00016,PROD-0009,2024-02-01,,,2024,1,France,Europe,Enterprise,BoP ARR,423431.33,2024
226,27,CUST-00016,PROD-0009,2024-03-01,,,2024,2,France,Europe,Enterprise,BoP ARR,451834.41,2024
227,27,CUST-00016,PROD-0009,2024-04-01,,,2024,3,France,Europe,Enterprise,BoP ARR,487671.11,2024
228,27,CUST-00016,PROD-0009,2024-05-01,,,2024,4,France,Europe,Enterprise,BoP ARR,403602.9,2024
230,28,CUST-00017,PROD-0005,2024-12-01,,,2024,1,France,Europe,SMB,BoP ARR,7812.31,2024
231,28,CUST-00017,PROD-0005,2025-01-01,,,2024,2,France,Europe,SMB,BoP ARR,8766.96,2025
232,28,CUST-00017,PROD-0005,2025-02-01,,,2024,3,France,Europe,SMB,BoP ARR,8469.91,2025
234,29,CUST-00017,PROD-0009,2024-12-01,,,2024,1,France,Europe,SMB,BoP ARR,9176.6,2024
235,29,CUST-00017,PROD-0009,2025-01-01,,,2024,2,France,Europe,SMB,BoP ARR,8924.46,2025
236,29,CUST-00017,PROD-0009,2025-02-01,,,2024,3,France,Europe,SMB,BoP ARR,8284.28,2025
237,29,CUST-00017,PROD-0009,2025-03-01,,,2024,4,France,Europe,SMB,BoP ARR,9119.6,2025
238,29,CUST-00017,PROD-0009,2025-04-01,,,2024,5,France,Europe,SMB,BoP ARR,8615.0,2025
239,29,CUST-00017,PROD-0009,2025-05-01,,,2024,6,France,Europe,SMB,BoP ARR,9266.52,2025
240,29,CUST-00017,PROD-0009,2025-06-01,,,2024,7,France,Europe,SMB,BoP ARR,8252.83,2025
241,29,CUST-00017,PROD-0009,2025-07-01,,,2024,8,France,Europe,SMB,BoP ARR,8950.41,2025
242,29,CUST-00017,PROD-0009,2025-08-01,,,2024,9,France,Europe,SMB,BoP ARR,8662.55,2025
244,30,CUST-00018,PROD-0010,2024-09-01,,,2024,1,France,Europe,Enterprise,BoP ARR,213624.81,2024
245,30,CUST-00018,PROD-0010,2024-10-01,,,2024,2,France,Europe,Enterprise,BoP ARR,210922.17,2024
246,30,CUST-00018,PROD-0010,2024-11-01,,,2024,3,France,Europe,Enterprise,BoP ARR,207775.39,2024
247,30,CUST-00018,PROD-0010,2024-12-01,,,2024,4,France,Europe,Enterprise,BoP ARR,189774.37,2024
248,30,CUST-00018,PROD-0010,2025-01-01,,,2024,5,France,Europe,Enterprise,BoP ARR,188749.68,2025
249,30,CUST-00018,PROD-0010,2025-02-01,,,2024,6,France,Europe,Enterprise,BoP ARR,181732.34,2025
250,30,CUST-00018,PROD-0010,2025-03-01,,,2024,7,France,Europe,Enterprise,BoP ARR,190585.82,2025
251,30,CUST-00018,PROD-0010,2025-04-01,,,2024,8,France,Europe,Enterprise,BoP ARR,199836.02,2025
252,30,CUST-00018,PROD-0010,2025-05-01,,,2024,9,France,Europe,Enterprise,BoP ARR,214882.61,2025
253,30,CUST-00018,PROD-0010,2025-06-01,,,2024,10,France,Europe,Enterprise,BoP ARR,183676.53,2025
254,30,CUST-00018,PROD-0010,2025-07-01,,,2024,11,France,Europe,Enterprise,BoP ARR,197398.07,2025
255,30,CUST-00018,PROD-0010,2025-08-01,,,2024,12,France,Europe,Enterprise,BoP ARR,206046.99,2025
257,31,CUST-00018,PROD-0008,2024-09-01,,,2024,1,France,Europe,Enterprise,BoP ARR,296479.14,2024
258,31,CUST-00018,PROD-0008,2024-10-01,,,2024,2,France,Europe,Enterprise,BoP ARR,305781.49,2024
259,31,CUST-00018,PROD-0008,2024-11-01,,,2024,3,France,Europe,Enterprise,BoP ARR,293243.48,2024
260,31,CUST-00018,PROD-0008,2024-12-01,,,2024,4,France,Europe,Enterprise,BoP ARR,288924.84,2024
261,31,CUST-00018,PROD-0008,2025-01-01,,,2024,5,France,Europe,Enterprise,BoP ARR,267919.11,2025
262,31,CUST-00018,PROD-0008,2025-02-01,,,2024,6,France,Europe,Enterprise,BoP ARR,289205.04,2025
